"","V2","X","V1","V3","V4"
"340","Brad_Pitt",1529,"other-search","external",14444
"341","Cleo_(piosenkarka)",2149,"Sitek","link",16
"342","Cleo_(piosenkarka)",2149,"other-empty","external",1099
"343","Cleo_(piosenkarka)",2149,"Dancing_with_the_Stars._Taniec_z_gwiazdami","link",17
"344","Cleo_(piosenkarka)",2149,"other-other","external",201
"345","Cleo_(piosenkarka)",2149,"X_Factor_(Polska)","link",75
"346","Cleo_(piosenkarka)",2149,"other-external","external",53
"347","Cleo_(piosenkarka)",2149,"Donatan","link",184
"348","Cleo_(piosenkarka)",2149,"Hiper/Chimera","link",11
"349","Cleo_(piosenkarka)",2149,"Cleo","link",125
"350","Cleo_(piosenkarka)",2149,"other-internal","external",122
"351","Cleo_(piosenkarka)",2149,"Ola_Ciupa","link",88
"352","Cleo_(piosenkarka)",2149,"The_Voice_Kids_(Polska)","link",581
"353","Cleo_(piosenkarka)",2149,"Jan_Kliment_(tancerz)","link",12
"354","Cleo_(piosenkarka)",2149,"1983","link",10
"355","Cleo_(piosenkarka)",2149,"other-search","external",18665
"356","Cleo_(piosenkarka)",2149,"Enej","link",166
"357","Cleo_(piosenkarka)",2149,"Konkurs_Piosenki_Eurowizji","link",18
"358","Cleo_(piosenkarka)",2149,"Polska_w_Konkursie_Piosenki_Eurowizji","link",17
"359","Dieter_Bohlen",27100,"other-other","external",378
"360","Dieter_Bohlen",27100,"Dyter","link",16
"361","Dieter_Bohlen",27100,"C.C._Catch","link",110
"362","Dieter_Bohlen",27100,"Modern_Talking","link",17618
"363","Dieter_Bohlen",27100,"Cheri_Cheri_Lady","link",45
"364","Dieter_Bohlen",27100,"Das_Supertalent","link",57
"365","Dieter_Bohlen",27100,"other-external","external",28
"366","Dieter_Bohlen",27100,"Blue_System","link",286
"367","Dieter_Bohlen",27100,"Bonnie_Tyler","link",27
"368","Dieter_Bohlen",27100,"Sylvie_Meis","link",25
"369","Dieter_Bohlen",27100,"Bohlen","link",16
"370","Dieter_Bohlen",27100,"other-empty","external",1869
"371","Dieter_Bohlen",27100,"Brother_Louie","link",11
"372","Dieter_Bohlen",27100,"other-search","external",17904
"373","Dieter_Bohlen",27100,"Thomas_Anders","link",1695
"374","Dieter_Bohlen",27100,"other-internal","external",76
"375","Dieter_Bohlen",27100,"Chris_Norman","link",111
"376","Dieter_Bohlen",27100,"Euro_disco","link",12
"377","Dominika_Gawęda",3432,"other-search","external",19665
"378","Dominika_Gawęda",3432,"Pectus","other",13
"379","Dominika_Gawęda",3432,"other-internal","external",29
"380","Dominika_Gawęda",3432,"Szansa_na_sukces","link",40
"381","Dominika_Gawęda",3432,"other-external","external",70
"382","Dominika_Gawęda",3432,"other-other","external",328
"383","Dominika_Gawęda",3432,"other-empty","external",1382
"384","Edyta_Golec",1775,"other-search","external",4998
"385","Edyta_Golec",1775,"other-other","external",104
"386","Edyta_Golec",1775,"other-internal","external",15
"387","Edyta_Golec",1775,"Golec_uOrkiestra","link",2276
"388","Edyta_Golec",1775,"other-empty","external",486
"389","Edyta_Golec",1775,"other-external","external",16
"390","Elżbieta_Romanowska",2796,"other-other","external",279
"391","Elżbieta_Romanowska",2796,"Kung_Fu_Panda_3","link",11
"392","Elżbieta_Romanowska",2796,"Ranczo_(serial_telewizyjny)","link",363
"393","Elżbieta_Romanowska",2796,"other-empty","external",1156
"394","Elżbieta_Romanowska",2796,"BrzydUla","link",55
"395","Elżbieta_Romanowska",2796,"other-search","external",16789
"396","Elżbieta_Romanowska",2796,"Anna_Oberc","other",104
"397","Elżbieta_Romanowska",2796,"Blondynka","link",19
