Time;deviceID:110 type:2 variable:4;deviceID:110 type:10 variable:4;deviceID:110 type:20 variable:4;deviceID:110 type:30 variable:4;deviceID:110 type:40 variable:4;deviceID:115 type:2 variable:4;deviceID:115 type:10 variable:4;deviceID:115 type:20 variable:4;deviceID:115 type:30 variable:4;deviceID:115 type:40 variable:4;deviceID:115 type:41 variable:4;deviceID:115 type:42 variable:4;deviceID:115 type:43 variable:4;deviceID:115 type:44 variable:4
2017-03-27 19:11:00;;;;;;100634;24,7922;29,7378;380,656;1,58189;1,75366;1,40678;1,67203;0,324166
2017-03-27 19:12:00;;;;;;100635;24,7809;29,7706;377,781;1,58888;1,76021;1,44384;1,68948;0,324731
2017-03-27 19:13:00;;;;;;100634;24,7497;29,7987;369,406;1,58611;1,7583;1,4326;1,68391;0,324813
2017-03-27 19:14:00;;;;;;100635;24,7394;29,8491;381,844;1,58729;1,75946;1,43368;1,68513;0,324969
2017-03-27 19:15:00;;;;;;100636;24,6897;29,7769;375,333;1,58586;1,74999;1,40246;1,67001;0,325137
2017-03-27 19:16:00;;;;;;100637;24,6219;29,9569;373,938;1,57917;1,74987;1,39267;1,66509;0,325938
2017-03-27 19:17:00;;;;;;100637;24,5988;30,0631;376;1,58283;1,75482;1,41568;1,67607;0,326456
2017-03-27 19:18:00;;;;;;100637;24,547;30,0822;375,844;1,5854;1,7579;1,43032;1,68353;0,326541
2017-03-27 19:19:00;;;;;;100631;24,545;30,1381;370,688;1,58919;1,75456;1,42502;1,68126;0,327044
2017-03-27 19:20:00;;;;;;100635;24,5175;30,2675;374,688;1,59152;1,74768;1,41307;1,67497;0,327262
2017-03-27 19:21:00;;;;;;100634;24,4894;30,26;368,938;1,59522;1,74039;1,39299;1,66564;0,327531
2017-03-27 19:22:00;;;;;;100636;24,5225;30,2125;385,781;1,58832;1,74963;1,40918;1,67338;0,327188
2017-03-27 19:23:00;;;;;;100634;24,5431;30,2;377,531;1,58093;1,75468;1,41131;1,67477;0,3275
2017-03-27 19:24:00;;;;;;100635;24,555;30,2;375,812;1,58315;1,75588;1,41691;1,67685;0,327444
2017-03-27 19:25:00;;;;;;100636;24,5528;30,1612;369,594;1,57935;1,75279;1,40078;1,66876;0,327563
2017-03-27 19:26:00;;;;;;100637;24,5294;30,2;369,812;1,58934;1,74941;1,41282;1,67377;0,328013
2017-03-27 19:27:00;;;;;;100637;24,5212;30,2;375;1,5914;1,76164;1,45688;1,6964;0,328233
2017-03-27 19:28:00;;;;;;100639;24,51;30,1906;375,969;1,59441;1,76288;1,47042;1,70196;0,32805
2017-03-27 19:29:00;;;;;;100640;24,5131;30,1925;372,312;1,59434;1,76303;1,47101;1,70362;0,327906
2017-03-27 19:30:00;;;;;;100639;24,4947;30,18;378,875;1,58888;1,76038;1,44038;1,68848;0,327978
2017-03-27 19:31:00;;;;;;100637;24,4978;30,1716;370,812;1,59344;1,76211;1,46707;1,70009;0,327834
2017-03-27 19:32:00;;;;;;100643;24,4956;30,1584;373,515;1,58804;1,75998;1,43887;1,68758;0,327688
